Cellline_id	Cellline_name	Cellline_species	Cellline_disease	cell_describe
CELL10172	rMTs	Rattus norvegicus	.	Rat myocardial tissues
CELL10173	rNCs	Rattus norvegicus	.	Rat neuronal cells
CELL10174	rPTs	Rattus norvegicus	.	Rat pancreas tissues
CELL10175	rPHNs	Rattus norvegicus	.	Rat primary hippocampal neurons
CELL10176	rPAs	Rattus norvegicus	.	Rat primary astrocytes
CELL10177	rPCNs	Rattus norvegicus	.	Rat primary cortical neuron
CELL10178	rPCNs	Rattus norvegicus	.	Rat primary cortical neurons
CELL10179	rPHs	Rattus norvegicus	.	Rat primary hepatocytes
CELL10180	rPNCs	Rattus norvegicus	.	Rat primary nerve cells
CELL10181	rPNs	Rattus norvegicus	.	Rat primary neurons
CELL10182	rRHs	Rattus norvegicus	.	Rat right hemispheres
CELL10183	rSCTs	Rattus norvegicus	.	Rat spinal cord tissues
CELL10184	rSCs	Rattus norvegicus	.	Rat spinal cords
CELL10185	rTCs	Rattus norvegicus	.	Rat tenocytes
CELL10186	rVSMCs	Rattus norvegicus	.	Rat vascular smooth muscle cells
CELL00601	CC531 cells	Rattus norvegicus	Colon adenocarcinoma	.
CELL00600	AR42J cells	Rattus norvegicus	Digestive system neoplasms	.
CELL00602	INS-1 cells	Rattus norvegicus	Insulinoma	.
CELL00593	C6 cells	Rattus norvegicus	Malignant glioma	.
CELL00592	A7r5 cells	Rattus norvegicus	Normal	.
CELL00594	HSC-T6 cells	Rattus norvegicus	Normal	.
CELL00595	IEC-6 cells	Rattus norvegicus	Normal	.
CELL00596	NRK-52E cells	Rattus norvegicus	Normal	.
CELL00598	BRL-3A cells	Rattus norvegicus	Normal	.
CELL00603	NRK-49F cells	Rattus norvegicus	Normal	.
CELL00604	RSC96 cells	Rattus norvegicus	Normal	.
CELL00605	R-3327-AT-2 cells	Rattus norvegicus	Prostate adenocarcinoma	.
CELL00597	PC12 cells	Rattus norvegicus	Adrenal gland pheochromocytoma	.
CELL00599	MMQ cells	Rattus norvegicus	Pituitary gland neoplasm	.
CELL00606	LLC-PK1 cells	Sus scrofa	Normal	.
CELL00607	pTr2 cells	Sus scrofa	Normal	.
