"RCD","Effect","Exp_organism","PMID","Remark","Latest_update","Data_source"
"Ferroptosis","Ferroptosis :+: Hypoxic-ischemic brain damage","Rat",35182697,"_NA_",2022-10-04,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Alzheimer's disease","Mice",34998934,"_NA_",2022-10-04,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Brain injury","Carp",34905050,"_NA_",2022-10-12,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Neurological sequelae in patients with cerebral malaria","Mice",35725567,"_NA_",2022-10-18,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Traumatic brain injury","Mice",35728282,"_NA_",2022-10-18,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Triptolide-induced cardiotoxicity","Human",35757509,"_NA_",2022-10-21,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Colorectal cancer","Human",35993016,"_NA_",2022-10-21,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute respiratory distress syndrome","Mice",35222419,"_NA_",2022-11-20,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute-on-chronic liver failure","Mice",35480867,"_NA_",2022-11-21,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Rhabdomyolysis","Mice",35243801,"_NA_",2022-11-25,"FerrDb team"
"Ferroptosis","Ferroptosis :+: White matter injury","Mice",35318305,"_NA_",2022-11-25,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Experimental autoimmune prostatitis","Rat",35755168,"_NA_",2022-11-30,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Renal interstitial inflammatio","Mice",35224007,"_NA_",2022-12-11,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Kidney fibrosis","Mice",35224007,"_NA_",2022-12-11,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Diabetic cardiomyopathy","Mice",35256941,"_NA_",2022-12-14,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Osteoporosis","Mice",35638167,"_NA_",2022-12-14,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Diabetes-associated cognitive dysfunction","Mice",35350885,"_NA_",2022-12-14,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Cognitive deficits","Mice",35935755,"_NA_",2022-12-18,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Systematic lupus erythematosus","Mice",35619279,"_NA_",2022-12-18,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Pulmonary fibrosis","Mice",35237410,"_NA_",2022-12-18,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute liver injury","Mice",35496274,"_NA_",2023-01-05,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Otitis media","Mice",35449198,"_NA_",2023-01-05,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Pancreatic β cells dysfunction","Mice, rat",35761309,"_NA_",2023-01-06,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Cervical squamous cell carcinoma","Human",35422066,"_NA_",2023-01-11,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Diabetic osteoporosis","Mice",35260560,"_NA_",2023-01-11,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Radiation-induced lung injury","Mice",35220409,"_NA_",2023-02-21,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Pulmonary Fibrosis","Human, mice",35058772,"_NA_",2023-03-08,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Cerebral ischemia-reperfusion injury","Rat",36456793,"_NA_",2023-04-12,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Tubular injury","Human, mice",36566913,"_NA_",2023-04-12,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Viral Encephalitis","Human, mice",36507835,"_NA_",2023-04-19,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Ulcerative colitis","Rat, mice",36509196,"_NA_",2023-07-12,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Ulcerative colitis","Rat, mice",36509196,"_NA_",2023-07-21,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Hepatocellular carcinoma","Mice",36442849,"_NA_",2023-07-21,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Sepsis-associated encephalopathy","Mice",36401983,"_NA_",2023-07-25,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute pancreatitis","Mice",36670963,"_NA_",2023-08-08,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Chronic intermittent hypoxia-induced lung injury","Rat",36572881,"_NA_",2023-08-08,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Pancreatic injury after acute liver failure","Mice",36543135,"_NA_",2023-08-08,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Pulmonary fibrosis","Mice",36566325,"_NA_",2023-08-04,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Glioma","Mice",36484954,"_NA_",2023-08-18,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Endometriosis","Human",36547083,"_NA_",2023-07-21,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Diabetic tubulopathy","Rat",36440653,"_NA_",2023-10-17,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Hyperoxia-induced acute lung injury","Mice",36411467,"_NA_",2023-10-20,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Liver fibrogenesis","Human, mice",36370962,"_NA_",2023-10-20,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Hypoxic-ischemic brain injury","Rat",36184790,"_NA_",2023-10-07,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Oligospermia","Mice",36309297,"_NA_",2023-10-24,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Multiple sclerosis","Mice",36385152,"_NA_",2023-10-24,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Myocardial infarction","Rat",36174419,"_NA_",2023-11-03,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Sepsis-induced acute kidney injury","Mice",36067654,"_NA_",2023-11-03,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Primary ovarian insufficiency","Human, mice",36198708,"_NA_",2023-11-17,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Nonalcoholic steatohepatitis","Mice",36285301,"_NA_",2023-11-15,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Repetitive mild traumatic brain injury","Mice",35836233,"_NA_",2024-01-05,"FerrDb team"
