"RCD","Effect","Exp_organism","PMID","Remark","Latest_update","Data_source"
"Ferroptosis","Ferroptosis :+: Acute kidney failure","Human, mice",28551825,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Gliomas","Human",28553953,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Acute lymphoblastic leukemia","_NA_",28595877,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Hepatocellular carcinoma","Human",28756230,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Glioblastomas","Human",28805788,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Colorectal cancer","Human",28813679,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Breast cancer","Human",28827805,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Ischemic stroke","Mice, rat",28886009,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Hepatocellular carcinoma","Human, rat",28893626,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Lung cancer","Human",28900510,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Asthma","Human",29053969,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute kidney injury","Human",29053969,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Traumatic brain injury","Rat",29053969,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Lung adenocarcinomas","Human",29168506,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Squamous cell lung cancer","Human",29212036,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Melanoma","Human",29348676,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Breast cancer","Human",29383104,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Heart failure","Rat",29427658,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Large b-cell lymphoma","Human",29463878,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Breast cancer","Human",29588351,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Lung cancer","Human",29588351,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Melanoma","Human",29657129,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Glioma","Human",29702192,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Clear cell renal cell carcinoma","Human",29872221,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Head and neck cancer","Human",29928961,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Neuroblastoma","Human",29939160,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Melanoma","Human",30035324,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Secondary brain injury","Rat",30205109,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Hepatocellular carcinoma","Human",30258181,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Brain injury","Mice",30264934,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Multiple sclerosis","Human",30289974,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Hemorrhagic stroke","Mice",30294906,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Liver fibrosis","Mice",30321484,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Spinal cord injury","Rat",30352209,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Colorectal cancer","Mice",30460115,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Traumatic brain injury","Human",30531185,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Spinal cord injury","Rat",30539824,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Colorectal cancer","Human",30524291,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Liver fibrosis","Mice",30551460,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Acute myeloid leukemia","Human",30557609,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Friedreich's ataxia","Human",30635474,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Alzheimer's disease","Human",30684867,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Cardiomyopathy","Mice",30692261,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Intestinal ischemia/reperfusion injury","Mice",30737476,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Lung cancer","Human",30787392,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Temporal lobe epilepsy","Rat",30899387,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Stroke","Mice",31056284,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Alcoholic steatohepatitis","Mice",31061954,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Liver cancer","Human",31108460,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Radiation-induced lung fibrosis","Mice",31160885,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Heart failure","Rat",31196626,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Alcoholic liver","Mice",31224575,"10.1093/cdn/nzz031.P06-056-19, pmid not accessible",2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Acute myeloid leukemia","Human",31301767,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Chronic obstructive pulmonary disease","Human, mice",31316058,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Liver injury","Mice",31323261,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Mesothelioma","Mice",31341276,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Epilepsy","Mice",31379480,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Breast cancer","Mice",31409375,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute kidney injury","Mice",31437128,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Intracerebral hemorrhage","Human, mice",31442590,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Malignant mesothelioma","Human, rat",31442913,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Parkinson's disease","Rat",31467572,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Radiation-induced lung injury","Mice",31493867,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Non-small-cell lung cancer","Human, mice",31541463,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Nonalcoholic steatohepatitis","Mice",31610178,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Adrenocortical carcinoma","Human",31611400,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Oleic acid-induced acute lung injury","Mice",31646322,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Morphine tolerance","Mice",31682397,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Myocardial infarction","Mice",31685805,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Renal ischemia/reperfusion injury","Mice",31694915,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Esophageal squamous cell carcinoma","Human, mice",31701262,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Pancreatic dysfunction","Mice",31735470,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Myocardial infarction","Mice",31740582,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute kidney injury","Mice",31767624,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Liver injury","Mice",31767624,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Glioma","Human",31789401,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Diabetes myocardial ischemia/reperfusion injury","Rat",31809190,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Con a-induced hepatitis","Human, mice",31877357,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Pancreatic cancer","Mice",31894321,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Preeclampsia","Rat",31926626,NA,2021-04-28,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Osteoarthritis","Human, mice",33376672,NA,2021-05-10,"FerrDb team"
