uniprot_id,is_core,source
P02511,0,ferrdb
P02649,0,ferrdb
P02654,0,ferrdb
P02778,0,ferrdb
P02788,0,ferrdb
P02790,0,ferrdb
P03372,0,ferrdb;ferreg
P04049,0,ferreg
P04179,0,ferrdb;ferreg
P04198,0,ferrdb;ferreg
P04233,0,ferrdb
P04424,0,ferrdb
P04626,0,ferreg
P04731,0,ferreg
P05013,0,ferrdb;ferreg
P05014,0,ferrdb;ferreg
P05015,0,ferrdb;ferreg
P05067,0,ferrdb
P05091,0,ferrdb
P05106,0,ferrdb
P05109,0,ferrdb
P05129,0,ferrdb
P05164,0,ferrdb
P05181,0,ferrdb
P05231,0,ferrdb;ferreg
P05305,0,ferrdb
P05387,0,ferrdb
P05412,0,ferrdb;ferreg
P05413,0,ferreg
P05549,0,ferrdb;ferreg
P05771,0,ferrdb
P05783,0,ferrdb
P06400,0,ferrdb;ferreg
P06493,0,ferrdb
P06730,0,ferrdb;ferreg
P06733,0,ferrdb
P07148,0,ferreg
P07237,0,ferrdb;ferreg
P07711,0,ferreg
P07858,0,ferreg
P07900,0,ferrdb
P07954,0,ferrdb;ferreg
P08047,0,ferrdb;ferreg
P08069,0,ferrdb;ferreg
P08575,0,ferrdb
P08620,0,ferrdb;ferreg
P09038,0,ferrdb
P09086,0,ferrdb
P09211,0,ferrdb
P09429,0,ferrdb;ferreg
P09488,0,ferrdb
P09622,0,ferrdb;ferreg
P09874,0,ferrdb;ferreg
P09917,0,ferrdb
P09958,0,ferrdb;ferreg
P0C7P0,0,ferrdb
P0DMC3,0,ferrdb
P0DMV8,0,ferrdb
P0DMV9,0,ferrdb
P10074,0,ferrdb
P10109,0,ferrdb
P10145,0,ferrdb
P10242,0,ferrdb;ferreg
P10275,0,ferrdb;ferreg
P10415,0,ferrdb
P10599,0,ferrdb;ferreg
P10620,0,ferrdb;ferreg
P10914,0,ferrdb
P11021,0,ferrdb;ferreg
P11142,0,ferrdb;ferreg
P11172,0,ferrdb
P11309,0,ferrdb
P11310,0,ferrdb
P11413,0,ferrdb;ferreg
P11473,0,ferrdb;ferreg
P12277,0,ferrdb
P12644,0,ferrdb
P12830,0,ferrdb;ferreg
P12931,0,ferrdb;ferreg
P13473,0,ferrdb;ferreg
P13501,0,ferreg
P13640,0,ferrdb;ferreg
P13667,0,ferrdb
P13674,0,ferrdb
P13929,0,ferrdb;ferreg
P14618,0,ferrdb
P14780,0,ferreg
P14866,0,ferrdb
P14902,0,ferrdb;ferreg
P14921,0,ferrdb;ferreg
P14923,0,ferrdb
P15090,0,ferrdb;ferreg
P15248,0,ferrdb
P15336,0,ferrdb;ferreg
P15374,0,ferrdb
P15407,0,ferrdb
P15884,0,ferrdb
P15941,0,ferrdb;ferreg
P15976,0,ferrdb
P16070,0,ferrdb;ferreg
P16152,0,ferreg
P16220,0,ferrdb;ferreg
P16234,0,ferrdb;ferreg
P16444,0,ferrdb;ferreg
P16671,0,ferrdb;ferreg
P17066,0,ferrdb
P17098,0,ferrdb
P17174,0,ferrdb
P17252,0,ferrdb;ferreg
P17302,0,ferrdb;ferreg
P17405,0,ferrdb;ferreg
P17483,0,ferreg
P17535,0,ferrdb;ferreg
P17844,0,ferrdb
P17947,0,ferrdb;ferreg
P18054,0,ferrdb
P18146,0,ferrdb;ferreg
P18669,0,ferrdb
P18847,0,ferrdb;ferreg
P18848,0,ferrdb;ferreg
P18850,0,ferrdb
P19022,0,ferreg
P19419,0,ferrdb
P19440,0,ferrdb;ferreg
P19474,0,ferrdb;ferreg
P19484,0,ferrdb;ferreg
P19525,0,ferrdb
P19801,0,ferrdb
P20393,0,ferrdb;ferreg
P21399,0,ferrdb;ferreg
P21554,0,ferrdb
P21580,0,ferrdb;ferreg
P21796,0,ferrdb
P21810,0,ferrdb
P21912,0,ferrdb
P22301,0,ferrdb
P22307,0,ferrdb;ferreg
P22352,0,ferrdb
P22455,0,ferrdb
P22736,0,ferrdb;ferreg
P22760,0,ferrdb
P22830,0,ferrdb
P23142,0,ferrdb
P23526,0,ferrdb;ferreg
P23528,0,ferrdb;ferreg
P23760,0,ferreg
P23771,0,ferrdb
P23921,0,ferrdb;ferreg
P24310,0,ferrdb
P24468,0,ferrdb
P24592,0,ferrdb
P25440,0,ferrdb;ferreg
P25490,0,ferrdb
P25963,0,ferreg
P26012,0,ferreg
P26583,0,ferrdb
P26599,0,ferrdb;ferreg
P26651,0,ferrdb;ferreg
P27338,0,ferreg
P27361,0,ferrdb
P27701,0,ferreg
P27708,0,ferrdb
P27815,0,ferrdb
P28300,0,ferrdb
P28347,0,ferrdb
P28358,0,ferrdb
P28482,0,ferrdb;ferreg
P28799,0,ferrdb
P28907,0,ferrdb
P29275,0,ferrdb
P29317,0,ferrdb
P29323,0,ferrdb
P29350,0,ferrdb;ferreg
P29375,0,ferrdb;ferreg
P29558,0,ferrdb;ferreg
P29590,0,ferrdb;ferreg
P30041,0,ferrdb;ferreg
P30044,0,ferreg
P30048,0,ferrdb
P30086,0,ferrdb;ferreg
P30260,0,ferrdb
P30279,0,ferreg
P30304,0,ferrdb;ferreg
P30530,0,ferrdb
P30542,0,ferrdb
P30838,0,ferreg
P31040,0,ferrdb
P31153,0,ferrdb
P31350,0,ferrdb;ferreg
P31749,0,ferrdb;ferreg
P32119,0,ferrdb;ferreg
P32322,0,ferrdb
P32881,0,ferrdb;ferreg
P33527,0,ferrdb;ferreg
P34931,0,ferrdb
P34932,0,ferrdb
P34972,0,ferreg
P34995,0,ferrdb
P35222,0,ferrdb
P35228,0,ferrdb;ferreg
P35240,0,ferrdb;ferreg
P35354,0,ferrdb
P35367,0,ferrdb
P35372,0,ferrdb
P35613,0,ferrdb
P35638,0,ferreg
P35869,0,ferrdb
P35914,0,ferrdb
P35968,0,ferreg
P36776,0,ferrdb;ferreg
P36888,0,ferrdb;ferreg
P36896,0,ferrdb;ferreg
P36897,0,ferrdb;ferreg
P36955,0,ferrdb
