,source,target,interaction_type
210,PLA2G6,SLC7A11,1
211,PTPMT1,ACSL4,-1
212,PTPMT1,SLC7A11,1
213,KAT6B,STAT3,1
214,METTL3,YTHDF1,1
215,KDM4A,HIF1A,1
216,NSUN5,FTH1,1
217,NSUN5,FTL,1
218,PRDX6,NRF2,1
219,APOC1,KEAP1,-1
220,KEAP1,NRF2,-1
221,APOC1,CBS,1
222,CBS,GPX4,1
223,PSEN1,GPX4,1
224,PSEN2,GPX4,1
225,HNRNPL,YY1,1
226,YY1,PD-L1,-1
227,TCF4,GPX4,1
228,FGFR4,SLC7A11,1
229,FGFR4,FPN1,1
230,FGFR4,GPX4,1
231,G3BP1,MTOR,-1
232,FTH1,GPX4,1
233,LAMTOR5,ZNF263,1
234,ZNF263,SCD,1
235,ATF2,HSPH1,1
236,HSPH1,SLC7A11,1
237,SND1,GPX4,1
238,METTL16,GPX4,1
239,FTO,OTUB1,1
240,APELA,FTH1,1
241,SLC1A5,GPX4,1
242,MYC,NCOA4,-1
243,GOT1,NRF2,1
244,STC1,NRF2,1
245,RBM24,SLC7A11,1
246,NAT10,FSP1,1
247,JUND,Linc00976,1
248,GPX4,mTOR,1
249,KDM1A,c-Myc,-1
250,USF2,PKM2,1
251,GLS,GPX4,1
252,HRH1,STAT3,-1
253,STAT3,SLC7A11,-1
254,PYCR1,SLC25A10,1
255,ANGPTL4,GPX4,1
256,IGF2BP3,NRF2,1
257,CAPRIN2,HMGCR,1
258,TRPM2,NRF2,1
259,MTTP,PRAP1,1
260,PRAP1,ZEB1,-1
261,ZEB1,GPX4,-1
262,CISD2,p62,1
263,p62,Keap1,-1
264,AADAC,SLC7A11,1
265,PEDS1,p62,1
266,p62,GPX4,1
267,MAZ,FTH1,1
268,PIM1,MYC,1
269,SLC25A11,GPX4,1
270,MTHFR,TRC8,-1
271,TRC8,HMOX1,-1
272,MITD1,TAZ,1
273,TAZ,SLC7A11,1
274,PPARA,FABP1,1
275,FABP1,GPX4,1
276,FABP1,ACSL4,-1
277,PHGDH,SLC7A11,1
278,ELK1,GPX4,1
279,RRM1,TP53,-1
280,TP53,GPX4,-1
281,C8orf76,SLC7A11,1
282,NUP62,KEAP1,-1
283,CKB,GPX4,1
284,AIFM2,NADPH,1
285,BAP31,VDAC1,-1
286,SLC7A11,c-Myc,-1
287,OTUD5,SLC7A11,1
288,HSPA5,P53,-1
289,TERF2,SLC7A11,1
290,RSL1D1,FTH1,1
291,WTAP,NRF2,1
292,ZBTB48,IGF2BP3,1
293,IGF2BP3,HSPB1,1
294,HNRNPM,SMARCA4,1
295,POLE2,NRF2,1
296,G3BP1,p53,1
297,p53,SLC7A11,1
298,SLC7A11,Gpx4,1
299,SPI1,TIMP1,1
300,HO-1,GPX4,-1
301,C1QTNF6,SOCS2,-1
302,SOCS2,GPX4,-1
303,AKR1C3,YAP,1
304,YAP,SLC7A11,1
305,TRIM21,FSP1,1
306,MAPK8,FSP1,1
307,NRF2,FSP1,1
308,HELLS,CYP24A1,1
309,MIR96,PTEN,-1
310,miR-494,SLC7A11,-1
311,MGST1,ATG16L1,-1
312,KDM4D,p53,-1
313,SPI1,GPX4,1
314,GPX4,TFR1,-1
315,NFE2L2,HERC2,1
316,HERC2,NCOA4,-1
317,NFE2L2,VAMP8,1
318,NEUROD1,GPX4,1
319,TXNDC12,SLC7A11,1
320,IL6,SLC7A11,1
321,CREB1,SCD,1
322,YTHDF1,PD-L1,-1
323,FOXM1,MEF2C,1
324,MEF2C,GPX4,1
325,SETD2,FECH,1
326,CEBPG,SLC7A11,1
327,BMAL1,EBF3,-1
328,EBF3,ALOX15,1
329,IL17A,NFE2L2,1
330,P4HA1,HMGCS1,1
331,BHLHE40,SREBF1,1
332,FEN1,ACSL4,-1
333,NFE2L2,gsk3b,-1
334,CDK1,ACSL4,-1
335,RB1,E2F,-1
336,E2F,ACSL4,1
337,SGK2,GPX4,1
338,FOXM1,LCN2,1
339,NR1H4,FSP1,1
340,NR1H4,ppara,1
341,NR1H4,GPX4,1
342,NR1H4,ACSL3,1
343,NR1H4,SCD1,1
344,PRMT1,ACSL1,-1
345,GINS4,Snail,1
346,Snail,p53,-1
347,ANXA10,TFRC,-1
348,NFE2L2,GPX4,1
349,TET2,GPX4,1
350,FUNDC1,GPX4,1
351,CARM1,ACSL4,-1
352,RNF25,CARM1,1
353,TRIM6,SLC1A5,1
354,USP8,OGT,1
355,OGT,SLC7A11,1
356,ASCL1,CREB1,1
357,SESN1,p21,1
358,USP11,SIRT3,1
359,USP14,MFG-E8,-1
360,TUG1,PDK4,1
361,Marchf6,POMC,-1
362,POMC,GPX4,-1
363,SREBP1,SCD,1
364,SLC35F2,SYVN1,1
365,SYVN1,TRIM59,1
366,TRIM59,p53,-1
367,ZC3H13,DUOX1,-1
368,PROX1,SCD,1
369,ACADM,GPX4,1
370,PRMT9,HSPA8,1
371,HSPA8,CD44,1
372,SERPINF1,GPX4,1
373,PEDF,FTH1,1
374,TMEM147,STAT2,1
375,STAT2,DHCR7,1
376,DHCR7,CYP27A1,1
377,CYP27A1,GPX4,1
378,STC2,PRMT5,1
379,STC2,SLC7A11,1
380,PPARGC1A,NRF1,1
381,NRF1,GSTK1,1
382,WBP2,GPX4,1
383,EIF2AK3,SLC7A11,1
384,EREG,GPX4,1
385,CAPG,p53,-1
386,FGF10,SIRT1,1
387,SIRT1,NRF2,1
388,SYVN1,HMGB1,-1
389,HDAC6,HSPA5,1
390,PDIA4,ATF4,1
391,ATF4,SLC7A11,1
392,B3GNT3,SLC3A2,1
393,TRIM26,GPX4,1
394,Apoc1,GPX4,1
395,HACE1,NRF2,1
396,AIM2,ACSL4,-1
397,PCBP1,LACTB,-1
398,LACTB,PISD,-1
399,NFE2L1,HJURP,1
400,USP8,ctnnb1,-1
401,KDM1A,ATF4,-1
402,PGAM5,Keap1,-1
403,Keap1,Nrf2,-1
404,STEAP3,EGFR,1
405,ZNF488,SCD1,1
406,FANCD2,JAK2,1
407,JAK2,STAT3,1
408,FHOD1,HSPB1,1
409,BRD4,FSP1,1
410,SRC,p62,1
411,p62,KEAP1,-1
412,MTCH1,FoxO1,1
413,FoxO1,GPX4,1
414,SLC38A5,SREBP1,1
415,EIF3H,OGT,1
416,PRKD2,FTH1,1
417,PGAM1,AKT,1
418,AKT,LCN2,1
419,AKT,gsk3b,-1
420,gsk3b,Nrf2,-1
421,SIRT1,p53,-1
422,TP53,SLC7A11,-1
423,SLC7A11,GPX4,-1
424,MEX3A,p53,-1
425,EP300,hif1a,-1
426,hif1a,HMOX1,-1
427,FBXL5,IRP2,-1
428,CYP1B1,FBXO10,1
429,FBXO10,ACSL4,-1
430,UCHL3,ctnnb1,-1
431,DCLK3,TCF4,1
432,SLC12A5,xCT,1
433,UTP11,NRF2,1
434,TRIM11,AMPK,1
435,SLC43A2,nfkb1,1
436,nfkb1,GPX4,1
437,DPP9,NRF2,1
438,CARM1,GPX4,1
439,NAT10,SLC7A11,1
440,MAT2A,STAT3,1
441,NR0B1,NRF2,1
442,NRF2,CBS,1
443,NR0B1,c-JUN,-1
444,c-JUN,CBS,-1
445,WTAP,LCN2,1
446,AHR,SLC7A11,1
